,EmployeeNumber,Name,Age,Marital,YearWork,JobLevel,JobRole,OverTime,YearWithManage,Satisfaction,Salary,Travel,Gender,Photo,AttritionRisk
0,1,Jenice Long,0,1,0,0,0,1,0,0,0,0,Female,https://datatraining.io/users/user2_round.png,2
1,2,Andres Freeman,0,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user8_round.png,0
2,4,Lloyd Todd,0,1,0,1,1,1,1,0,1,0,Male,https://datatraining.io/users/user8_round.png,6
3,5,Lynne Maldonado,1,0,0,1,0,1,1,0,1,0,Female,https://datatraining.io/users/user5_round.png,5
4,7,Andrew Reed,1,0,0,1,1,0,0,0,1,0,Male,https://datatraining.io/users/user7_round.png,4
5,8,Elliot Porter,1,1,0,1,1,0,0,0,1,0,Male,https://datatraining.io/users/user6_round.png,5
6,10,Angela Carr,0,0,0,1,1,1,1,0,1,0,Female,https://datatraining.io/users/user2_round.png,5
7,11,Morris Burgess,1,0,1,1,1,0,1,0,1,0,Male,https://datatraining.io/users/user9_round.png,6
8,12,Todd Macias,0,1,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user7_round.png,1
9,13,William Camargo,0,0,0,0,0,0,0,0,0,0,Male,https://datatraining.io/users/user4_round.png,0
10,14,Christopher Stepp,0,0,0,1,1,0,0,0,1,0,Male,https://datatraining.io/users/user7_round.png,3
11,15,Barbara Garcia,1,1,0,0,1,1,0,0,0,0,Female,https://datatraining.io/users/user3_round.png,4
12,16,Timothy Barnes,1,0,0,1,0,0,0,0,1,0,Male,https://datatraining.io/users/user9_round.png,3
13,18,Bryan Rattanasinh,1,0,0,1,1,0,0,0,1,0,Male,https://datatraining.io/users/user9_round.png,4
14,19,Danny Demar,1,1,0,1,1,1,0,0,1,0,Male,https://datatraining.io/users/user8_round.png,6
15,20,Margaret Mullins,1,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user2_round.png,1
16,21,Christopher Soto,1,0,0,1,0,1,0,0,1,0,Male,https://datatraining.io/users/user1_round.png,4
17,22,James Moore,1,0,1,1,1,1,1,0,1,1,Male,https://datatraining.io/users/user8_round.png,8
18,23,Marian Johnson,0,0,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user11_round.png,0
19,24,Steven Crump,0,1,0,1,0,1,0,0,1,0,Male,https://datatraining.io/users/user6_round.png,4
20,26,Odessa Mccrory,1,0,0,0,0,0,0,0,0,1,Female,https://datatraining.io/users/user10_round.png,2
21,27,Pedro Forest,0,1,0,1,1,0,0,0,1,0,Male,https://datatraining.io/users/user9_round.png,4
22,28,Deloras Vela,1,1,0,0,0,0,0,0,0,0,Female,https://datatraining.io/users/user3_round.png,2
23,30,George Nestle,1,1,1,1,0,0,1,0,1,0,Male,https://datatraining.io/users/user7_round.png,6
24,31,Charles Vosburg,1,1,0,1,0,0,0,0,1,0,Male,https://datatraining.io/users/user1_round.png,4
